id,code,section,name,main,sub,type,cat.scale,cat.ref,cat.ord,cont.mean,cont.sd,category.personal_stakes,category.threat_appraisal,category.coping_appraisal,category.control,category.adaptation,question.main,question.sub
19,A15,A,provinces_Newfoundland_and_Labrador,provinces,Newfoundland_and_Labrador,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
20,A16,A,provinces_Northwest_Territories,provinces,Northwest_Territories,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
21,A17,A,provinces_Yukon,provinces,Yukon,categorical,a,No,FALSE,,,0,0,0,1,0,Please indicate the province(s) and/or territory(ies) where your woodlots are located.,""
22,A18,A,plotAgeDistrib_SQ002,plotAgeDistrib,SQ002,continuous,,,,34.7906710310966,30.2799786913561,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),Older forest stands that can be harvested and regenerated in the next 20 years
23,A19,A,plotAgeDistrib_SQ003,plotAgeDistrib,SQ003,continuous,,,,22.5402618657938,23.5921586569616,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Mature forest stands, in active growth phase, harvestable in more than 20 years"
24,A20,A,plotAgeDistrib_SQ004,plotAgeDistrib,SQ004,continuous,,,,15.3518821603928,20.0541621261725,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Young forest stands, planted or from natural regeneration for less than 20 years"
25,A21,A,plotAgeDistrib_SQ005,plotAgeDistrib,SQ005,continuous,,,,3.7823240589198,8.98760978635938,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),"Recent forest cuts, not yet replanted or naturally regenerated"
26,A22,A,plotAgeDistrib_SQ006,plotAgeDistrib,SQ006,continuous,,,,20.7446808510638,29.8898022582506,0,0,0,1,0,Please indicate what proportion of your woodlots is represented by each of the following categories (in percentage of total forest surface),Multi-age forest stands
27,A23,A,forestReasons_SQ001,forestReasons,SQ001,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Selling wood
28,A24,A,forestReasons_SQ002,forestReasons,SQ002,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Harvesting firewood
29,A25,A,forestReasons_SQ003,forestReasons,SQ003,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Leaving an inheritance for my children
30,A26,A,forestReasons_SQ004,forestReasons,SQ004,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Protecting forest ecosystems
31,A27,A,forestReasons_SQ005,forestReasons,SQ005,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Having nice landscapes
32,A28,A,forestReasons_SQ006,forestReasons,SQ006,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Carbon sequestration
33,A29,A,forestReasons_SQ007,forestReasons,SQ007,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,For investing in or having a pension fund
34,A30,A,forestReasons_SQ008,forestReasons,SQ008,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,The woodlot is adjacent to my home
35,A31,A,forestReasons_SQ009,forestReasons,SQ009,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"Hunting, trapping or fishing"
36,A32,A,forestReasons_SQ010,forestReasons,SQ010,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"For recreational purposes other than hunting, trapping or fishing (eg, quad bikes, skidoo, etc)"
37,A33,A,forestReasons_SQ011,forestReasons,SQ011,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,"Harvesting non-timber products (eg, mushrooms, honey, berries, etc)"
38,A34,A,forestReasons_SQ012,forestReasons,SQ012,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Protecting water quality
39,A35,A,forestReasons_SQ013,forestReasons,SQ013,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Preventing soil erosion
40,A36,A,forestReasons_SQ014,forestReasons,SQ014,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Growing Christmas trees
41,A37,A,forestReasons_SQ015,forestReasons,SQ015,categorical,d,Neutral,TRUE,,,1,0,0,0,0,People have different reasons to own forests Please indicate how important are these reasons in your decision of owning woodlots,Producing maple syrup
42,A38,A,forestReasonsExplain,forestReasonsExplain,"",qualitative,,,,,,,,,,,Please provide any comments you may have on the previous questions You can also jump to the following question,""
43,A39,A,forestManager_SQ005,forestManager,SQ005,categorical,a,No,FALSE,,,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",My woodlots are not managed
44,A40,A,forestManager_SQ001,forestManager,SQ001,categorical,a,No,FALSE,,,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",I decide everything by myself
45,A41,A,forestManager_SQ002,forestManager,SQ002,categorical,a,No,FALSE,,,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?","I make decisions together with people close to me (relatives, friends, other co-owners)"
46,A42,A,forestManager_SQ003,forestManager,SQ003,categorical,a,No,FALSE,,,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?","I seek advice from a forestry professional (eg, forest engineer, logging contractor services, etc)"
47,A43,A,forestManager_SQ004,forestManager,SQ004,categorical,a,No,FALSE,,,1,0,0,0,0,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",I delegate every decisions to others
48,A44,A,forestManager_other,forestManager,other,qualitative,,,,,,,,,,,"Who makes the decisions about the management of your woodlots (logging, planting, regeneration, hunting, species choice, etc)?",Other
49,A45,A,delegateMgmtWhy_SQ002,delegateMgmtWhy,SQ002,categorical,d,Neutral,TRUE,,,,,,,,Why do you delegate every decisions to others?,I do not want to manage by myself
50,A46,A,delegateMgmtWhy_SQ003,delegateMgmtWhy,SQ003,categorical,d,Neutral,TRUE,,,,,,,,Why do you delegate every decisions to others?,I do not have time
51,A47,A,delegateMgmtWhy_SQ004,delegateMgmtWhy,SQ004,categorical,d,Neutral,TRUE,,,,,,,,Why do you delegate every decisions to others?,I do not have the financial means
52,A48,A,delegateMgmtWhy_SQ005,delegateMgmtWhy,SQ005,categorical,d,Neutral,TRUE,,,,,,,,Why do you delegate every decisions to others?,I do not know enough about how to manage a woodlot
53,A49,A,delegateMgmtWhy_SQ006,delegateMgmtWhy,SQ006,categorical,d,Neutral,TRUE,,,,,,,,Why do you delegate every decisions to others?,My woodlots are difficult to access
54,A50,A,delegateMgmtWhy_SQ007,delegateMgmtWhy,SQ007,categorical,d,Neutral,TRUE,,,,,,,,Why do you delegate every decisions to others?,I do not have the equipment or workers available
55,A51,A,delegateMgmtLater,delegateMgmtLater,"",categorical,e,No,FALSE,,,1,0,0,0,0,"Now thinking ahead, do you intend to take part to the decision-management over the next ten years?",""
56,A52,A,noMgmtLaterWhy_SQ002,noMgmtLaterWhy,SQ002,categorical,d,Neutral,TRUE,,,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not want to manage by myself
57,A53,A,noMgmtLaterWhy_SQ003,noMgmtLaterWhy,SQ003,categorical,d,Neutral,TRUE,,,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not have time
58,A54,A,noMgmtLaterWhy_SQ004,noMgmtLaterWhy,SQ004,categorical,d,Neutral,TRUE,,,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not have the financial means
59,A55,A,noMgmtLaterWhy_SQ005,noMgmtLaterWhy,SQ005,categorical,d,Neutral,TRUE,,,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not know enough about how to manage a woodlot
60,A56,A,noMgmtLaterWhy_SQ006,noMgmtLaterWhy,SQ006,categorical,d,Neutral,TRUE,,,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,My woodlots are difficult to access
61,A57,A,noMgmtLaterWhy_SQ007,noMgmtLaterWhy,SQ007,categorical,d,Neutral,TRUE,,,,,,,,Why do you prefer not to take part to the decision-management over the next ten years?,I do not have the equipment or workers available
62,A58,A,infoSources_SQ001,infoSources,SQ001,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Meetings of forest owner groups or associations
63,A59,A,infoSources_SQ002,infoSources,SQ002,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Forestry newsletters and/or magazines
64,A60,A,infoSources_SQ003,infoSources,SQ003,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,"Internet (forums, Facebook, Twitter, etc)"
65,A61,A,infoSources_SQ004,infoSources,SQ004,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Conferences and training
66,A62,A,infoSources_SQ005,infoSources,SQ005,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Scientific articles
67,A63,A,infoSources_SQ006,infoSources,SQ006,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Discussions with other forest owners
68,A64,A,infoSources_SQ007,infoSources,SQ007,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,Forest engineers/advisors
69,A65,A,infoSources_SQ008,infoSources,SQ008,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important are these sources of information in how you manage your woodlots?,"Relatives, friends, other co-owners"
70,A66,A,commentsA,commentsA,"",qualitative,,,,,,,,,,,"If you would like to, you may explain your answers (reasons to own forests, who decides for the woodlots management, information sources, …) ",""
71,B01,B,pastChangeRegen,pastChangeRegen,"",categorical,f,I have not changed anything.,FALSE,,,1,0,0,0,0,How has the regeneration of your forests changed since 2010?,""
72,B02,B,pastChangeSpecies_SQ001,pastChangeSpecies,SQ001,categorical,a,No,FALSE,,,1,0,0,0,0,How has the species composition of your woodlots changed since 2010?,I have tried to increase the diversity of species in my forests
73,B03,B,pastChangeSpecies_SQ002,pastChangeSpecies,SQ002,categorical,a,No,FALSE,,,1,0,0,0,0,How has the species composition of your woodlots changed since 2010?,I have modified part of my woodlot to favor a single species
74,B04,B,pastChangeSpecies_SQ003,pastChangeSpecies,SQ003,categorical,a,Yes,FALSE,,,1,0,0,0,0,How has the species composition of your woodlots changed since 2010?,I have not changed anything
75,B05,B,pastChangePlantSelec_SQ001,pastChangePlantSelec,SQ001,categorical,a,No,FALSE,,,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,This question does not concern me as I have not planted any trees since 2010
76,B06,B,pastChangePlantSelec_SQ002,pastChangePlantSelec,SQ002,categorical,a,No,FALSE,,,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,I have chosen my seedlings based on wood productivity
77,B07,B,pastChangePlantSelec_SQ003,pastChangePlantSelec,SQ003,categorical,a,No,FALSE,,,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,"I have chosen my seedlings as to anticipate various risks (drought, insects, etc)"
78,B08,B,pastChangePlantSelec_SQ005,pastChangePlantSelec,SQ005,categorical,a,No,FALSE,,,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,"I wish I could find or buy seedlings from new species, but I cannot"
79,B09,B,pastChangePlantSelec_SQ004,pastChangePlantSelec,SQ004,categorical,a,Yes,FALSE,,,1,0,0,0,0,Have you changed your species selection criteria for planting trees since 2010?,I have not changed my criteria
80,B10,B,pastChangePlantSelec_other,pastChangePlantSelec,other,qualitative,,,,,,,,,,,Have you changed your species selection criteria for planting trees since 2010?,Other
81,B11,B,plantSelecReasons_SQ001,plantSelecReasons,SQ001,categorical,g,No,FALSE,,,1,0,0,0,0,Have you chosen your seedlings to …,Introduce exotic species?
82,B12,B,plantSelecReasons_SQ002,plantSelecReasons,SQ002,categorical,g,No,FALSE,,,1,0,0,0,0,Have you chosen your seedlings to …,Introduce local species coming from southern populations (assisted migration)?
83,B13,B,pastChangeCut_SQ001,pastChangeCut,SQ001,categorical,h,It did not change,FALSE,,,1,0,0,0,0,How have you changed your logging methods since 2010 ?,Removal rate of partial/regeneration/commercial thinning
84,B14,B,pastChangeCut_SQ002,pastChangeCut,SQ002,categorical,h,It did not change,FALSE,,,1,0,0,0,0,How have you changed your logging methods since 2010 ?,Frequency of harvesting
85,B15,B,pastChangeCut_SQ003,pastChangeCut,SQ003,categorical,h,It did not change,FALSE,,,1,0,0,0,0,How have you changed your logging methods since 2010 ?,Share of the woodlot destined for clearcut
86,B16,B,pastChangeChemicals_SQ002,pastChangeChemicals,SQ002,categorical,a,No,FALSE,,,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I started using fertilizers and/or liming
87,B17,B,pastChangeChemicals_SQ003,pastChangeChemicals,SQ003,categorical,a,No,FALSE,,,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I stopped using fertilizers and/or liming
88,B18,B,pastChangeChemicals_SQ004,pastChangeChemicals,SQ004,categorical,a,No,FALSE,,,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I started using pesticides
89,B19,B,pastChangeChemicals_SQ005,pastChangeChemicals,SQ005,categorical,a,No,FALSE,,,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I stopped using pesticides
90,B20,B,pastChangeChemicals_SQ006,pastChangeChemicals,SQ006,categorical,a,Yes,FALSE,,,1,0,0,0,0,How has your use of fertilizers and pesticides changed since 2010?,I have not changed anything
91,B21,B,pastChangeConservati_SQ001,pastChangeConservati,SQ001,categorical,h,It did not change,FALSE,,,1,0,0,0,0,Have you made changes related to conservation in your woodlots since 2010?,Retention of old or dead trees
92,B22,B,pastChangeConservati_SQ002,pastChangeConservati,SQ002,categorical,h,It did not change,FALSE,,,1,0,0,0,0,Have you made changes related to conservation in your woodlots since 2010?,"Classification of some or all of my woodlot as a protected area (private nature reserve, conservation easement, gift, purchase or lease to a land conservation organism, )"
93,B23,B,pastChangeReasons_SQ002,pastChangeReasons,SQ002,categorical,d,Neutral,TRUE,,,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,To achieve the goals of my forest management plan
94,B24,B,pastChangeReasons_SQ003,pastChangeReasons,SQ003,categorical,d,Neutral,TRUE,,,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,"New machinery and/or technology (ex: logging equipment, drone inventories, etc) have contributed to change my practices"
95,B25,B,pastChangeReasons_SQ004,pastChangeReasons,SQ004,categorical,d,Neutral,TRUE,,,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,Easier access to my woodlots have contributed to change my practices
96,B26,B,pastChangeReasons_SQ005,pastChangeReasons,SQ005,categorical,d,Neutral,TRUE,,,0,1,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,"The consequences of a natural disaster (drought, flooding, disease, etc)"
97,B27,B,pastChangeReasons_SQ006,pastChangeReasons,SQ006,categorical,d,Neutral,TRUE,,,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,"To prevent the impacts of a natural hazard (drought, flooding, disease, etc)"
98,B28,B,pastChangeReasons_SQ007,pastChangeReasons,SQ007,categorical,d,Neutral,TRUE,,,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,To reduce management costs
99,B29,B,pastChangeReasons_SQ008,pastChangeReasons,SQ008,categorical,d,Neutral,TRUE,,,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,To benefit from governmental incentives
100,B30,B,pastChangeReasons_SQ009,pastChangeReasons,SQ009,categorical,d,Neutral,TRUE,,,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,At the request of my relatives or neighbors
101,B31,B,pastChangeReasons_SQ010,pastChangeReasons,SQ010,categorical,d,Neutral,TRUE,,,1,0,0,0,0,How important were these aspects regarding your decision to change at least one of your management practices?,On the advice of a forest engineer or a forest company
102,B32,B,pastChangeReasonsOth,pastChangeReasonsOth,"",qualitative,,,,,,,,,,,"If you can think of other reasons that motivated your management changes, you can specify them here",""
103,B33,B,future_SQ002,future,SQ002,categorical,i,Neutral,TRUE,,,1,0,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,Public perception of timber harvesting will not change my forest management
104,B34,B,future_SQ003,future,SQ003,categorical,i,Neutral,TRUE,,,0,0,1,0,0,Let’s now take a look at the future How much do you agree with the following statements?,Game populations in excess threaten the regeneration of my trees
105,B35,B,future_SQ004,future,SQ004,categorical,i,Neutral,TRUE,,,0,1,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I am concerned about future damage to trees from insects and/or diseases
106,B36,B,future_SQ005,future,SQ005,categorical,i,Neutral,TRUE,,,0,1,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I am concerned about the impacts of climate change on my woodlots
107,B37,B,future_SQ006,future,SQ006,categorical,i,Neutral,TRUE,,,0,1,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,Climate change provides an opportunity to achieve my forest management goals
108,B38,B,future_SQ001,future,SQ001,categorical,i,Neutral,TRUE,,,1,0,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I would like to log more trees in my forests
109,B39,B,future_SQ008,future,SQ008,categorical,i,Neutral,TRUE,,,1,0,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I would like to sell forest carbon credits
110,B40,B,future_SQ007,future,SQ007,categorical,i,Neutral,TRUE,,,1,0,0,0,0,Let’s now take a look at the future How much do you agree with the following statements?,I would like to see a part of my forest become a protected area
111,B41,B,futureOpportunWhy,futureOpportunWhy,"",qualitative,,,,,,,,,,,Could you please specify why climate change would be an opportunity for you?,""
112,B42,B,commentsB,commentsB,"",qualitative,,,,,,,,,,,"If you would like to, please detail the answers to the previous questions (changes in your forest management since 2010)",""
113,D01,D,mgmtChangeACC_A,mgmtChangeACC,A,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Decrease stand density
114,D02,D,mgmtChangeACC_B,mgmtChangeACC,B,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Log more frequently
115,D03,D,mgmtChangeACC_C,mgmtChangeACC,C,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Increase the number of species (diversification)
116,D04,D,mgmtChangeACC_D,mgmtChangeACC,D,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,"Replace species (ex: introduction of new species, assisted migration, etc)"
117,D05,D,mgmtChangeACC_E,mgmtChangeACC,E,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Let nature do its work
118,D06,D,mgmtChangeACC_F,mgmtChangeACC,F,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Increase the use of pesticides or chemical fertilizers
119,D07,D,mgmtChangeACC_G,mgmtChangeACC,G,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,"Practice prescribed burning, reduce fuel load"
120,D08,D,mgmtChangeACC_H,mgmtChangeACC,H,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,Prepare the soil (ex: drainage)
121,D09,D,mgmtChangeACC_I,mgmtChangeACC,I,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,"Buy an insurance against wildfire, frost, hail, windstorms, etc"
122,D10,D,mgmtChangeACC_J,mgmtChangeACC,J,categorical,j,No,FALSE,,,0,0,0,0,1,Do you intend to do any of the following (to all or part of your woodlots)?,"Diversify my forest revenue: development of recreation/tourism activities, enrollment in payment for carbon credits programs, etc"
123,D11,D,mgmtChangeACCWhyNo_SQ008,mgmtChangeACCWhyNo,SQ008,categorical,d,Neutral,TRUE,,,1,0,0,0,0,Why do you prefer not to implement any measures?,I do not want to
124,D12,D,mgmtChangeACCWhyNo_SQ002,mgmtChangeACCWhyNo,SQ002,categorical,d,Neutral,TRUE,,,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not have time
125,D13,D,mgmtChangeACCWhyNo_SQ003,mgmtChangeACCWhyNo,SQ003,categorical,d,Neutral,TRUE,,,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not have the financial means
126,D14,D,mgmtChangeACCWhyNo_SQ004,mgmtChangeACCWhyNo,SQ004,categorical,d,Neutral,TRUE,,,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not know enough about how to manage a woodlot
127,D15,D,mgmtChangeACCWhyNo_SQ005,mgmtChangeACCWhyNo,SQ005,categorical,d,Neutral,TRUE,,,0,0,1,0,0,Why do you prefer not to implement any measures?,My woodlots are difficult to access
128,D16,D,mgmtChangeACCWhyNo_SQ006,mgmtChangeACCWhyNo,SQ006,categorical,d,Neutral,TRUE,,,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not have the equipment or workers available
129,D17,D,mgmtChangeACCWhyNo_SQ007,mgmtChangeACCWhyNo,SQ007,categorical,d,Neutral,TRUE,,,0,0,1,0,0,Why do you prefer not to implement any measures?,I am uncertain whether these measures will work
130,D18,D,mgmtChangeACCWhyNo_SQ010,mgmtChangeACCWhyNo,SQ010,categorical,d,Neutral,TRUE,,,0,0,1,0,0,Why do you prefer not to implement any measures?,I do not have support nor guidance
131,D19,D,mgmtChangeACCWhyNo_SQ009,mgmtChangeACCWhyNo,SQ009,categorical,d,Neutral,TRUE,,,0,0,1,0,0,Why do you prefer not to implement any measures?,I don’t feel capable to implement these measures
132,D20,D,ACCIntended_A,ACCIntended,A,categorical,d,Neutral,TRUE,,,0,1,0,0,0,Do you intend to make changes to the management of your woodlots because:,You feel concerned about the impacts of climate change on your woodlots?
133,D21,D,ACCIntended_B,ACCIntended,B,categorical,d,Neutral,TRUE,,,0,1,0,0,0,Do you intend to make changes to the management of your woodlots because:,Climate change provides an opportunity to achieve your forest management goals?
134,D22,D,ACCEfficiency_SQ002,ACCEfficiency,SQ002,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Decrease stand density
135,D23,D,ACCEfficiency_SQ003,ACCEfficiency,SQ003,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Log more frequently
136,D24,D,ACCEfficiency_SQ004,ACCEfficiency,SQ004,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Increase the number of species (diversification)
137,D25,D,ACCEfficiency_SQ005,ACCEfficiency,SQ005,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?","Replace species (ex: introduction of new species, assisted migration, etc)"
138,D26,D,ACCEfficiency_SQ006,ACCEfficiency,SQ006,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Let nature do its work
139,D27,D,ACCEfficiency_SQ007,ACCEfficiency,SQ007,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Increase the use of pesticides or chemical fertilizers
140,D28,D,ACCEfficiency_SQ008,ACCEfficiency,SQ008,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?","Practice prescribed burning, reduce fuel load "
141,D29,D,ACCEfficiency_SQ009,ACCEfficiency,SQ009,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?",Prepare the soil (ex: drainage)
142,D30,D,ACCEfficiency_SQ010,ACCEfficiency,SQ010,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?","Buy an insurance against wildfire, frost, hail, windstorms, etc"
143,D31,D,ACCEfficiency_SQ011,ACCEfficiency,SQ011,categorical,k,Uncertain efficacy,TRUE,,,0,0,1,0,0,"In your view, how effective are the following measures to adapt to climate change?","Diversify my forest revenue: development of recreation/tourism activities, enrollment in payment for carbon sequestration programs, etc"
144,D32,D,ACCAssistance_A,ACCAssistance,A,categorical,l,Neutral,TRUE,,,0,0,1,0,0,What assistance would you need to adapt to climate change in your woodlots?,Financial or tax incentives
