id,section,code,name,main,sub,type,category.personal_stakes,category.threat_appraisal,category.coping_appraisal,category.control,category.adaptation,question.main,question.sub
148,D,D36,ACCAssistance_E,ACCAssistance,E,categorical,0,1,0,0,0,What assistance would you need to adapt to climate change in your woodlots?,Vulnerability diagnosis
149,D,D37,commentsD,commentsD,,qualitative,,,,,,"If you would like to, please detail the answers to the previous questions (potential changes of your forest management, climate change, etc)",""
150,C,C01,climateKnower_A,climateKnower,A,categorical,0,1,0,0,0,How much do you agree with the following statements?,The climate is currently changing all over the world
151,C,C02,climateKnower_B,climateKnower,B,categorical,0,1,0,0,0,How much do you agree with the following statements?,"Human activities (for instance, deforestation) do not contribute to climate change"
152,C,C03,climateKnower_C,climateKnower,C,categorical,0,1,0,0,0,How much do you agree with the following statements?,"If we were to stop burning fossil fuels (oil, gas), climate change would stop almost immediately"
153,C,C04,climateKnower_D,climateKnower,D,categorical,0,1,0,0,0,How much do you agree with the following statements?,Climate change will cause more droughts in some places and greater precipitation in others
154,C,C05,climateExperience_SQ001,climateExperience,SQ001,categorical,0,1,0,0,0,Which of the following events have you already witnessed in your woodlots?,Prolonged droughts/Heatwaves
155,C,C06,climateExperience_SQ002,climateExperience,SQ002,categorical,0,1,0,0,0,Which of the following events have you already witnessed in your woodlots?,Extreme cold temperatures
156,C,C07,climateExperience_SQ003,climateExperience,SQ003,categorical,0,1,0,0,0,Which of the following events have you already witnessed in your woodlots?,Freezing rain
157,C,C08,climateExperience_SQ004,climateExperience,SQ004,categorical,0,1,0,0,0,Which of the following events have you already witnessed in your woodlots?,Extreme precipitations
158,C,C09,climateExperience_SQ005,climateExperience,SQ005,categorical,0,1,0,0,0,Which of the following events have you already witnessed in your woodlots?,Wind storms
159,C,C10,climateExperience_SQ006,climateExperience,SQ006,categorical,0,1,0,0,0,Which of the following events have you already witnessed in your woodlots?,Wildfires
160,C,C11,climateExperience_SQ007,climateExperience,SQ007,categorical,0,1,0,0,0,Which of the following events have you already witnessed in your woodlots?,"Insects, pests and pathogen outbreaks"
161,C,C12,climateExperience_SQ008,climateExperience,SQ008,categorical,0,1,0,0,0,Which of the following events have you already witnessed in your woodlots?,None of the above
162,C,C13,climateExperience_other,climateExperience,other,qualitative,,,,,,Which of the following events have you already witnessed in your woodlots?,Other
163,C,C14,CCExperience,CCExperience,,categorical,0,1,0,0,0,Do you think that climate change is to blame for one or more of these events?,""
164,C,C15,CCImpacts_SQ002,CCImpacts,SQ002,categorical,0,1,0,0,0,Do you think that the following changes will happen on your woodlots?,Changes in tree species composition
165,C,C16,CCImpacts_SQ003,CCImpacts,SQ003,categorical,0,1,0,0,0,Do you think that the following changes will happen on your woodlots?,Increase in tree growth
166,C,C17,CCImpacts_SQ004,CCImpacts,SQ004,categorical,0,1,0,0,0,Do you think that the following changes will happen on your woodlots?,Decrease in tree growth
167,C,C18,CCImpacts_SQ005,CCImpacts,SQ005,categorical,0,1,0,0,0,Do you think that the following changes will happen on your woodlots?,Changes in soil fertility
168,C,C19,CCImpacts_SQ006,CCImpacts,SQ006,categorical,0,1,0,0,0,Do you think that the following changes will happen on your woodlots?,Increase in tree mortality
169,C,C20,CCWhen,CCWhen,,categorical,0,1,0,0,0,"In your opinion, when will the first impacts of climate change become apparent in your woodlots?",""
170,C,C21,CCWhen_other,CCWhen,other,qualitative,,,,,,"In your opinion, when will the first impacts of climate change become apparent in your woodlots? ",Other
171,C,C22,CCSurface,CCSurface,,continuous,0,1,0,0,0,"In your opinion, what percentage of your woodlots will be affected by the first impacts of climate change?",""
